dt,humidity,pop,pressure,temp_max,temp_min,uvi,weather_id,wind_speed,wind_gust,rain,snow
"2025-02-19 12:00:00",70,NULL,1006,11.56,5.8,NULL,501,7.57,NULL,NULL,NULL
"2025-02-20 12:00:00",75,NULL,1000,13.23,9.04,NULL,501,10.75,NULL,NULL,NULL
"2025-02-21 12:00:00",81,NULL,990,13.07,7.92,NULL,501,12.05,NULL,NULL,NULL
"2025-02-22 12:00:00",71,NULL,1012,11.08,6.29,NULL,800,5.96,NULL,NULL,NULL
"2025-02-23 12:00:00",87,NULL,1000,12.09,7.21,NULL,501,13.37,NULL,NULL,NULL
"2025-02-24 12:00:00",87,NULL,1009,10.65,4.83,NULL,500,6.71,NULL,NULL,NULL
"2025-02-25 12:00:00",68,NULL,1017,8.37,3.49,NULL,801,6.92,NULL,NULL,NULL
"2025-02-26 12:00:00",97,NULL,1012,7.83,3.04,NULL,501,5.7,NULL,NULL,NULL
"2025-02-27 12:00:00",63,NULL,1026,9.31,-0.48,NULL,801,4.85,NULL,NULL,NULL
"2025-02-28 12:00:00",61,NULL,1022,9.09,2.03,NULL,802,5.96,NULL,NULL,NULL
"2025-03-01 12:00:00",60,NULL,1024,9.28,4.82,NULL,500,6.5,NULL,NULL,NULL
"2025-03-02 12:00:00",76,NULL,1025,11.19,4.51,NULL,500,5.99,NULL,NULL,NULL
